Body Name,Date,Transaction Number,Amount,Supplier,Expense Area,Directorate Name,Cost Centre Name,Subjective,Supplier Size,Merchant Category Code,Merchant Category Label
City of Westminster Council,07/01/2014,SCC:PCA:8080,80,ROYAL BOROUGH OF KENSI,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8081,10.82,RYMAN,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000625,Stationery & Office Products Suppliers
City of Westminster Council,07/01/2014,SCC:PCA:8081,9.99,RYMAN,Built Environment,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000625,Stationery & Office Products Suppliers
City of Westminster Council,07/01/2014,SCC:PCA:8082,3.46,SACAT MARKS & SPENCER,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8083,5.25,SIA NEWS,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8084,2.39,TESCO STORE,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,07/01/2014,SCC:PCA:8084,7.16,TESCO STORE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,07/01/2014,SCC:PCA:8084,1.39,TESCO STORE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,07/01/2014,SCC:PCA:8084,14.65,TESCO STORE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,07/01/2014,SCC:PCA:8085,910,TFL CC/LEZ PENALTY,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8086,11,THCP MACHINES,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8087,8.66,TIMES NEWSPAPERS LTD,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8088,19.58,WAITROSE 783,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000247,General Retailers
City of Westminster Council,07/01/2014,SCC:PCA:8089,4.37,WASABI,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8090,195,WESTMINSTER PARKING 3,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8091,1.6,WESTMINSTER PARKING PA,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8092,19.47,www.oceanmedia.co.uk,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,08/01/2014,SCC:PCA:8093,124.89,Amazon EU,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
